Asset #,Source,Asset Title,URL,Content Type,License,License URL,Suggested Learning Objective,Difficulty Level,Duration,Assessment Availability,Visual/Interactive Tags,Priority,Notes
76,MIT OCW,Differential Equations (18.03SC),https://ocw.mit.edu/courses/18-03sc-differential-equations-fall-2011/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Solve ordinary differential equations and apply to engineering and science models,Intermediate,~36 hrs,Problem sets + exams (manual),"Video lectures, Visualizations",2,⚠️ NC/SA FLAG; MIT Scholar; prereq: 18.02; essential for engineering/physics
77,MIT OCW,Entrepreneurship and Early Stage Capital (15.391),https://ocw.mit.edu/courses/15-391-early-stage-capital-fall-2010/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Evaluate startup funding strategies, venture capital structures, and investor negotiation",Advanced,~25 hrs,Case presentations (manual),"Case studies, Guest lectures",2,⚠️ NC/SA FLAG; MIT Sloan; supplements OpenStax Entrepreneurship
78,MIT OCW,Circuits and Electronics (6.002),https://ocw.mit.edu/courses/6-002-circuits-and-electronics-spring-2007/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Analyze resistive, capacitive, and inductive circuits using Kirchhoff's laws",Intermediate,~36 hrs,Problem sets + labs (manual),"Video lectures, Circuit diagrams",2,⚠️ NC/SA FLAG; MIT EECS; foundational for electrical and electronics technology
79,MIT OCW,Fundamentals of Photovoltaics (2.627),https://ocw.mit.edu/courses/2-627-fundamentals-of-photovoltaics-fall-2013/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Explain solar cell physics and evaluate PV system design and efficiency tradeoffs,Advanced,~30 hrs,Problem sets (manual),"Video lectures, Device diagrams",2,⚠️ NC/SA FLAG; MIT Engineering; solar tech vocational certification aligned
80,NASA,NASA Climate Kids,https://climatekids.nasa.gov/,Interactive OER,Public Domain (U.S. Gov),https://www.nasa.gov/about/highlights/HP_Privacy.html,Describe how Earth's climate systems work and identify human impacts,Intro,~5 hrs,Interactive quizzes,"Interactive, Visual, Videos",2,U.S. Government public domain; embed specific modules in Nexus
81,OER Commons,Introduction to Paralegal Studies,https://www.oercommons.org/courseware/lesson/50163/overview,Course,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Identify paralegal roles, legal research methods, and professional ethics",Intro,~10-15 hrs,Some quizzes,"Text, Case studies",2,CC BY; OER Commons; good intro for legal assistant/paralegal vocational track
82,OSHA.gov,Construction eTool – Personal Protective Equipment,https://www.osha.gov/etools/construction/personal-protective-equipment,eTool,Public Domain (U.S. Gov),https://www.osha.gov/aboutosha/web-policies/copyright,"Select appropriate PPE for construction site head, eye, hand, and fall protection",Vocational,~1 hr,No formal assessment,"Interactive photos, Diagrams",2,U.S. Government public domain; compliance micro-unit for all construction trades
83,Open Social Work Education,Introduction to Social Work and Social Welfare,https://opensocialwork.org/textbooks/,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Describe the history, ethics, and practice of social work across diverse client populations",Intro,~20 hrs,No formal assessment,"Case studies, Text",2,"CC BY; curated by OpenSocialWork.org; includes policy, ethics, trauma-informed practice"
84,Open Textbook Library,Sources of American Law – Legal Research,https://open.umn.edu/opentextbooks/textbooks/sources-of-american-law-an-introduction-to-legal-research,Textbook,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Conduct legal research using primary and secondary sources in U.S. law libraries,Vocational,~10 hrs,No formal assessment,"Text, Research examples",2,⚠️ NC/SA FLAG; peer-reviewed; essential for paralegal and legal admin tracks
85,Open Textbook Library,Introduction to Criminal Justice,https://open.umn.edu/opentextbooks/textbooks/introduction-to-criminal-justice-systems-diversity-and-change,Textbook,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Describe police, courts, and corrections systems and analyze criminal justice reform issues",Intro,~25 hrs,No formal assessment,"Case studies, Data",2,CC BY; peer-reviewed; criminal justice track for paralegal and law enforcement
86,Open Yale Courses,Financial Theory (ECON 251),https://oyc.yale.edu/economics/econ-251,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Apply mathematical finance theory to investments, risk, and asset pricing",Advanced,~36 hrs,Problem sets + exams (manual),Video lectures (26),2,⚠️ NC/SA FLAG; Yale John Geanakoplos; advanced finance elective
87,OpenStax,Introduction to Philosophy,https://openstax.org/books/introduction-philosophy/pages/preface,Textbook,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Analyze core philosophical problems in logic, ethics, metaphysics, and epistemology",Intro,~25 hrs,Yes – instructor test banks,"Case studies, Text",2,⚠️ NC/SA FLAG; peer-reviewed; strong applied ethics component
88,OpenStax,Business Law I Essentials,https://openstax.org/books/business-law-i-essentials/pages/1-introduction,Textbook,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Identify legal concepts in contracts, torts, business entities, and employment law",Intro,~20 hrs,Yes – instructor test banks,Case studies,2,⚠️ NC/SA FLAG; peer-reviewed; essential for business and paralegal tracks
89,PhET – Univ. Colorado,Gas Properties Simulation,https://phet.colorado.edu/en/simulations/gas-properties,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,Describe ideal gas behavior and apply kinetic molecular theory with visual data,Intro,~1 hr,Challenge questions,Interactive simulation,2,⚠️ NC FLAG; HTML5; chemistry and thermodynamics; HVAC relevance
90,PhET – Univ. Colorado,Wave Interference Simulation,https://phet.colorado.edu/en/simulations/wave-interference,Interactive Simulation,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,"Demonstrate wave superposition, diffraction, and interference patterns",Intro,~1 hr,Challenge questions,Interactive simulation,2,⚠️ NC FLAG; HTML5; Physics acoustics; HVAC engineering physics
91,Saylor Academy,BUS404: Risk Management,https://learn.saylor.org/course/view.php?id=92,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Apply risk identification, assessment, and mitigation frameworks across business contexts",Intermediate,~36 hrs,Yes – auto-gradable final exam,"Text, Case studies",2,ACE credit; CC BY; pairs with project management and business finance tracks
92,eCampusOntario,Introduction to Logistics,https://ecampusontario.pressbooks.pub/logistics001oerfc/,Textbook,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Explain logistics network design, transportation, warehousing, and inventory management",Intro,~20 hrs,Interactive activities embedded,"Interactive, Text, Activities",2,⚠️ NC/SA FLAG; strong interactive OER; H5P components
93,edX / LCI Education,Introduction to Adobe Illustrator,https://www.edx.org/learn/design/lci-education-introduction-to-illustrator,Course (audit),Proprietary (audit free),https://www.edx.org/edx-terms-service,"Create and modify vector graphics including logos, icons, and print layouts in Illustrator",Vocational,~6-8 hrs,Yes – project-based (paid cert),"Video, Design projects",2,⚠️ PROPRIETARY – audit free; LaSalle College Vancouver; RGD-recognized
94,MIT OCW,"Energy Decisions, Markets, and Policy (15.031J)",https://ocw.mit.edu/courses/15-031j-energy-decisions-markets-and-policy-spring-2012/,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Evaluate energy market structures, renewable policy, and sustainability tradeoffs",Intermediate,~36 hrs,Case studies + papers (manual),"Case studies, Data",3,⚠️ NC/SA FLAG; MIT Sloan; energy policy elective; environmental science track
95,Open Yale Courses,Political Philosophy (PHIL 181),https://oyc.yale.edu/philosophy/phil-181,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Analyze theories of political authority, justice, and liberty from Hobbes to Rawls",Intro,~36 hrs,Written essays (manual),"Video lectures, Readings",3,⚠️ NC/SA FLAG; Yale Steven Smith; 25 full lectures; humanities elective
96,OpenLearn,Start Writing Fiction,https://www.open.edu/openlearn/languages/creative-writing/start-writing-fiction/content-section-overview,Course,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Develop original characters and narratives using foundational fiction-writing techniques,Intro,~8 hrs,Badged – quiz-based,"Interactive exercises, Examples",3,⚠️ NC/SA FLAG; OU badged; creative writing elective
97,Saylor Academy,HIST101: Ancient Civilizations,https://learn.saylor.org/course/view.php?id=211,Course,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,Trace development of early civilizations through political and cultural analysis,Intro,~32 hrs,Yes – auto-gradable final exam,"Text, Maps",3,ACE credit; CC BY; humanities GE elective
